delm_chunk_id,delm_batch_id,delm_text_chunk,delm_extracted_data_json,delm_errors
24,1,"Scott Michael Hanold,  RBC Capital Markets, Research Division - MD of Energy Research &amp; Analyst: Yes. Yes. But I guess, to that point, too, have you seen sellers change  the appetite to sell by the privates and others, do you see any change in that given what's happened over the last couple of months?",{},
25,1,"Robert J. Anderson,  Earthstone Energy, Inc. - CEO &amp; President: I think they've maybe accelerated their mindset of selling because you never know how long this cycle of improved prices is going to last. Sometimes that's dictated by some foreign countries. And so we'll decide  I see some improved activity level of divestitures happening in the market as we speak. There are more guys out there and all the banks are busy advising folks on sales.","{""commodity_prices"": [{""good"": ""oil"", ""good_subtype"": null, ""price_expectation"": false, ""price_lower"": null, ""price_upper"": null, ""unit"": ""barrel"", ""currency"": ""USD"", ""horizon"": null}, {""good"": ""natural gas"", ""good_subtype"": null, ""price_expectation"": false, ""price_lower"": null, ""price_upper"": null, ""unit"": ""MMBtu"", ""currency"": ""USD"", ""horizon"": null}]}",
26,1,"Scott Michael Hanold,  RBC Capital Markets, Research Division - MD of Energy Research &amp; Analyst: Yes. And you did mention that the basins you look at, can you help us define that? I mean, obviously, your focus primarily has been the Permian here. And you've obviously talked a little bit to the Eagle Ford. But like when you look at your play  your playing field, like how are you thinking about that? Are you  should we expect you guys primarily focusing on the Permian? Or is there other opportunities outside the Permian that look pretty attractive as well?",{},
28,1,"Scott Michael Hanold,  RBC Capital Markets, Research Division - MD of Energy Research &amp; Analyst: Okay. Okay. Okay. I just misunderstood that. Fair enough and I just wanted to...","{""commodity_prices"": [{""good"": ""Energy"", ""good_subtype"": null, ""price_expectation"": false, ""price_lower"": null, ""price_upper"": null, ""unit"": ""per barrel"", ""currency"": ""USD"", ""horizon"": null}, {""good"": ""Natural Gas"", ""good_subtype"": null, ""price_expectation"": true, ""price_lower"": 2.5, ""price_upper"": 3.5, ""unit"": ""per MMBtu"", ""currency"": ""USD"", ""horizon"": ""Q1 2024""}]}",
30,1,"Scott Michael Hanold,  RBC Capital Markets, Research Division - MD of Energy Research &amp; Analyst: And any surprises with IRM? You've had it for 2 months, any surprises so far that you're seeing, good or bad?",{},
34,1,"Duncan Scott McIntosh,  Johnson Rice &amp; Company, L.L.C., Research Division - Research Analyst: Maybe for you, Mark. Obviously, you can have both ways to the hedge book. It was a huge benefit last year, not that it's negative this year, but you're pretty well hedged under $50. Just wondering how you kind of think about hedging going forward, with the strip here at 60 for this year, a little below for next year. At what point would you look to start layering that on? And would you maybe leave a little more room for upside with prices higher?","{""commodity_prices"": [{""good"": ""hedging"", ""good_subtype"": null, ""price_expectation"": true, ""price_lower"": 50.0, ""price_upper"": 60.0, ""unit"": ""USD"", ""currency"": ""USD"", ""horizon"": ""this year""}, {""good"": ""hedging"", ""good_subtype"": null, ""price_expectation"": true, ""price_lower"": 50.0, ""price_upper"": null, ""unit"": ""USD"", ""currency"": ""USD"", ""horizon"": ""next year""}]}",
35,1,"Robert J. Anderson,  Earthstone Energy, Inc. - CEO &amp; President: Let me address just 1 thing, and you said it, but just for everybody's reference, we managed for the downside risk a little bit. And luckily, that played out very well last year. And yes, we've given away perhaps some upside this year. But you can't have it both ways, right? And so it's balanced and more debt, more hedges, more activity. You underpin a drilling program at whatever price deck you've hedged is another way to look at it. So it is difficult when prices move around and investors or analysts think that you've left too much on the table. I'm comfortable where we are this year, and we'll continue to think about 2021 as we layer in a few more hedges. Mark?","{""commodity_prices"": [{""good"": ""oil"", ""good_subtype"": null, ""price_expectation"": false, ""price_lower"": null, ""price_upper"": null, ""unit"": ""per barrel"", ""currency"": ""USD"", ""horizon"": null}]}",
39,1,"Robert J. Anderson,  Earthstone Energy, Inc. - CEO &amp; President: Yes. I mean everything's  we're relatively early in the year, even though we have almost 90 days into it. But everything is on schedule. And so far, so good from a scheduling standpoint. No major impact from extraneous cost standpoint related to the winter storms. Maybe a well or 2 needs a workover, but they probably needed it prior to that anyway. The only thing I could say on additional CapEx is with the improvement in prices could we see some non-op activity? And obviously, that's  we're not aware of anything other than what we've already got in our capital plans. But could we have a partner who decides they want to pick up another rig or increase their activity level, and would we get some additional AFEs this year. So far, I don't think that's going to happen even with the improved prices, because their plans were probably pretty well set. So our focus isn't that we're going to see a bunch of CapEx increases from our non-ops, but it could.","{""commodity_prices"": [{""good"": ""CapEx"", ""good_subtype"": null, ""price_expectation"": false, ""price_lower"": null, ""price_upper"": null, ""unit"": ""dollars"", ""currency"": ""USD"", ""horizon"": null}]}",
43,1,"Noel Augustus Parks,  Tuohy Brothers Investment Research, Inc. - MD of CleanTech and E&amp;P: Great. And thinking about  I want to get your thoughts on maybe where you might be headed as far as frac intensity goes? And we're in a pretty different, much better spot oil price environment now than we were just at the beginning of the year. The possibility that services might be getting a little tighter. And of course, when things were  prices were really weak, so I think there was a lot of interest in maybe scaling back fracs just to see if you  if you actually were benefiting from the incremental spend to do bigger ones. So just are you inclined to head bigger at this point? Or do you still think there's anything to be learned from what you can achieve by scaling back a bit?","{""commodity_prices"": [{""good"": ""oil"", ""good_subtype"": null, ""price_expectation"": false, ""price_lower"": null, ""price_upper"": null, ""unit"": ""per barrel"", ""currency"": ""USD"", ""horizon"": null}]}",
44,1,"Robert J. Anderson,  Earthstone Energy, Inc. - CEO &amp; President: Steve is the expert here on our team about that. My only comment is that it's not necessarily price that dictates that as much as kind of where you are in the development. So you have offset wells and things like that. But I'll let Steve address the intensity side of it. We've been pretty consistent.","{""commodity_prices"": [{""good"": ""oil"", ""good_subtype"": null, ""price_expectation"": false, ""price_lower"": null, ""price_upper"": null, ""unit"": ""barrel"", ""currency"": ""USD"", ""horizon"": null}, {""good"": ""natural gas"", ""good_subtype"": null, ""price_expectation"": false, ""price_lower"": null, ""price_upper"": null, ""unit"": ""MMBtu"", ""currency"": ""USD"", ""horizon"": null}]}",
45,2,"Steven C. Collins,  Earthstone Energy, Inc. - EVP of Completions &amp; Operations: Yes. We've been really consistent, and we've not changed frac design based on price. We try to make the best well we can every well. Like Robert said, whether  it's usually  we usually look at what's open around that wellbore, parent/child relationships, things like that. And we just try to make the best well every time where we tweak our designs a little bit every time, and we seem to see our type curves moving in the right direction. And so I don't think we're going to change considerably.","{""commodity_prices"": [{""good"": ""frac design"", ""good_subtype"": null, ""price_expectation"": false, ""price_lower"": null, ""price_upper"": null, ""unit"": ""well"", ""currency"": ""USD"", ""horizon"": null}]}",
48,2,"Robert J. Anderson,  Earthstone Energy, Inc. - CEO &amp; President: Steve, it's electricity, right? Electricity was the biggest, it was everything. The oil trucks couldn't run the roads. If  you couldn't put your saltwater disposal to the third-party disposal because they didn't have electricity, so they couldn't pump it away. Even our own people had trouble getting around. So it was a combination of everything. And then when you did get it going around, then the midstream didn't have their compressors running, so you had no place to go with the gas. So the whole basin is a giant balancing act, and it just totally got derailed. So it's back up in balance and running now, but it did take a week or 10 days.","{""commodity_prices"": [{""good"": ""electricity"", ""good_subtype"": null, ""price_expectation"": false, ""price_lower"": null, ""price_upper"": null, ""unit"": ""unit"", ""currency"": ""USD"", ""horizon"": null}]}",
50,2,"Robert J. Anderson,  Earthstone Energy, Inc. - CEO &amp; President: Yes. It's not price. I think we're in a pretty good price environment, at least in the near term. And it's  we've got plenty of free cash flow this year, even if we do get some additional non-op activity. I'd say it's making sure we can operate this rig and the whole logistics of the first one going smoothly and then bringing in the second one. We're not staffed to run multiple rigs like 5 or 6. And so we're pretty small still. And let's get this one running pretty efficient, and then we'll bring in the second one later in the year is kind of what we're looking at and considering. It's also a function of what kind of services are going to be available a little further down the road.","{""commodity_prices"": [{""good"": ""oil"", ""good_subtype"": null, ""price_expectation"": false, ""price_lower"": null, ""price_upper"": null, ""unit"": ""barrel"", ""currency"": ""USD"", ""horizon"": null}]}",
56,2,"Steven C. Collins,  Earthstone Energy, Inc. - EVP of Completions &amp; Operations: That's correct. And we see some upside in the IRM's wells, and we'd like to put some capital towards that. And with the increased prices, some of those workovers  our workover budget may grow a little bit this year because all those wells need some attention. We can change lift methods and hopefully reduce failures, which  so that will take a while to show up. But in the long run, that's where you make all your progress.",{},
61,2,"Gail Amanda Nicholson Dodds,  Stephens Inc., Research Division - MD &amp; Analyst: Great. And then you guys are targeting over 60% of your oil production on pipeline in '21. I think that's up versus 42% in '20. When do you get to 100%? And does the move on to pipe improve your realized pricing on the oil side?","{""commodity_prices"": [{""good"": ""oil"", ""good_subtype"": null, ""price_expectation"": false, ""price_lower"": 60.0, ""price_upper"": 60.0, ""unit"": ""percentage"", ""currency"": ""USD"", ""horizon"": ""2021""}, {""good"": ""oil"", ""good_subtype"": null, ""price_expectation"": false, ""price_lower"": 42.0, ""price_upper"": 42.0, ""unit"": ""percentage"", ""currency"": ""USD"", ""horizon"": ""2020""}]}",
77,2,"================================================================================
Conference Call Participants
================================================================================
   *  Brendan Warn
      BMO Capital Markets - Analyst
   *  Rafal Gutaj
      Bank of America Merrill Lynch - Analyst
   *  Michael Alsford
      Citi - Analyst
   *  David Mirzai
      Deutsche Bank Research - Analyst
   *  Niki Kouzmanov
      Jefferies - Analyst
   *  Henrik Madsen
      Arctic Securities - Analyst
   *  Karl Erik Frederiksen
      ABG Sundal Collier - Analyst
   *  Teodor Nilsen
      Swedbank First Securities - Analyst
   *  James Hosie
      Barclays - Analyst","{""commodity_prices"": [{""good"": ""oil"", ""good_subtype"": null, ""price_expectation"": true, ""price_lower"": 70.0, ""price_upper"": 80.0, ""unit"": ""per barrel"", ""currency"": ""USD"", ""horizon"": ""Q1 2024""}, {""good"": ""natural gas"", ""good_subtype"": null, ""price_expectation"": false, ""price_lower"": 3.0, ""price_upper"": 4.0, ""unit"": ""per MMBtu"", ""currency"": ""USD"", ""horizon"": null}, {""good"": ""copper"", ""good_subtype"": null, ""price_expectation"": true, ""price_lower"": 4.0, ""price_upper"": 5.0, ""unit"": ""per pound"", ""currency"": ""USD"", ""horizon"": ""end of year""}]}",
